Fold;Accuracy;F1-Score
1;0,9;0,901940842
2;0,633333333;0,618899917
3;0,633333333;0,627752176
4;0,833333333;0,822222222
5;0,866666667;0,861111111
6;0,766666667;0,765432099
7;0,7;0,680027508
8;0,833333333;0,83245614
9;0,666666667;0,598617757
10;0,766666667;0,753179244
