Fold;Accuracy;F1-Score
1;0,933333333;0,933249791
2;0,933333333;0,933333333
3;0,933333333;0,932659933
4;0,933333333;0,933249791
5;0,933333333;0,933249791
6;0,966666667;0,966583124
7;0,9;0,901940842
8;0,966666667;0,966583124
9;0,933333333;0,933333333
10;0,966666667;0,966583124
